School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Fremont High,1612590125716,Oakland Unified,66,399.0,398.0,392.0,6.0,9.09%
LPS Oakland R & D Campus,1612590126748,Oakland Unified,0,,,,,null%
Rudsdale Continuation,1612590130146,Oakland Unified,1,,,,,null%
Street Academy (Alternative),1612590130179,Oakland Unified,3,,,,,null%
LIFE Academy,1612590130575,Oakland Unified,54,378.0,374.0,377.0,4.0,7.41%
"Oakland Military Institute, College Preparatory Ac",1612590130617,Oakland Unified,66,417.0,429.0,418.0,12.0,18.18%
Aspire Lionel Wilson College Preparatory Academy,1612590130666,Oakland Unified,52,391.0,416.0,410.0,3.0,5.77%
Oakland High,1612590135905,Oakland Unified,187,414.0,436.0,417.0,32.0,17.11%
Oakland Technical High,1612590136051,Oakland Unified,308,515.0,520.0,503.0,168.0,54.55%
Skyline High,1612590137943,Oakland Unified,179,447.0,446.0,447.0,49.0,27.37%
Oakland School for the Arts,1612593030772,Oakland Unified,80,529.0,470.0,523.0,40.0,50%
"Independent Study, Sojourner Truth",1612596114011,Oakland Unified,4,,,,,null%
Millennium High Alternative,1612750130286,Piedmont City Unified,10,,,,,null%
Piedmont High,1612750136515,Piedmont City Unified,140,621.0,629.0,625.0,129.0,92.14%
Lincoln High (Continuation),1612910134528,San Leandro Unified,1,,,,,null%
San Leandro High,1612910137588,San Leandro Unified,324,461.0,462.0,460.0,104.0,32.1%
East Bay Arts High,1613090111799,San Lorenzo Unified,34,423.0,422.0,418.0,7.0,20.59%
KIPP King Collegiate High,1613090114421,San Lorenzo Unified,115,482.0,475.0,478.0,42.0,36.52%
Arroyo High,1613090130849,San Lorenzo Unified,218,489.0,521.0,479.0,99.0,45.41%
San Lorenzo High,1613090137810,San Lorenzo Unified,161,423.0,447.0,426.0,27.0,16.77%
Dublin High,1750930132704,Dublin Unified,292,534.0,565.0,533.0,190.0,65.07%
Foothill High,1751010130096,Pleasanton Unified,394,585.0,607.0,587.0,326.0,82.74%
Amador Valley High,1751010130583,Pleasanton Unified,488,596.0,614.0,592.0,410.0,84.02%
Livermore Valley Charter Preparatory High,1766530120931,SBE - Livermore Valley Charter Preparatory High,75,516.0,523.0,515.0,45.0,60%
North Star Independent Study,3739810330050,Amador County Unified,0,,,,,null%
Amador High,3739810330753,Amador County Unified,70,532.0,523.0,504.0,45.0,64.29%
Argonaut High,3739810334755,Amador County Unified,27,508.0,492.0,502.0,15.0,55.56%
Northcoast Preparatory and Performing Arts Academy,12101240115097,Humboldt County Office of Education,35,620.0,534.0,579.0,32.0,91.43%
Six Rivers Charter High,12626870107110,Northern Humboldt Union High,16,531.0,528.0,472.0,6.0,37.5%
Laurel Tree Charter,12626870124263,Northern Humboldt Union High,3,,,,,null%
Arcata High,12626871230705,Northern Humboldt Union High,97,574.0,555.0,540.0,75.0,77.32%
McKinleyville High,12626871235209,Northern Humboldt Union High,52,501.0,500.0,486.0,27.0,51.92%
Academy of the Redwoods,12628100108688,Fortuna Union High,25,577.0,542.0,524.0,19.0,76%
Fortuna Union High,12628101233402,Fortuna Union High,67,491.0,493.0,480.0,29.0,43.28%
Hoopa Valley High,12629011234004,Klamath-Trinity Joint Unified,21,470.0,440.0,442.0,7.0,33.33%
Pacific View Charter,12629271230150,Loleta Union Elementary,0,,,,,null%
Alder Grove Charter,12630320111203,South Bay Union Elementary,4,,,,,null%
South Fork Junior - Senior High,12630401237007,Southern Humboldt Joint Unified,14,544.0,509.0,499.0,7.0,50%
Ferndale High,12753741232909,Ferndale Unified,18,507.0,520.0,511.0,11.0,61.11%
Mattole Triple Junction High,12753821230085,Mattole Unified,2,,,,,null%
Mattole Valley Charter (#159),12753821230135,Mattole Unified,4,,,,,null%
Eureka Senior High,12755151232206,Eureka City Schools,111,517.0,523.0,502.0,57.0,51.35%
Brawley High,13630811331404,Brawley Union High,156,452.0,451.0,442.0,43.0,27.56%
Calexico High,13630991332204,Calexico Unified,216,431.0,432.0,425.0,47.0,21.76%
Calipatria High,13631071332501,Calipatria Unified,23,464.0,453.0,446.0,6.0,26.09%
Southwest High,13631151330133,Central Union High,193,476.0,482.0,468.0,70.0,36.27%
Central Union High,13631151333004,Central Union High,128,468.0,486.0,464.0,46.0,35.94%
Desert Oasis High (Continuation),13631151333558,Central Union High,1,,,,,null%
Holtville High,13631491335306,Holtville Unified,67,441.0,451.0,434.0,13.0,19.4%
Imperial High,13631641335900,Imperial Unified,105,495.0,494.0,474.0,44.0,41.9%
San Pasqual Valley High,13632141337609,San Pasqual Valley Unified,9,,,,,null%
YouthBuild Charter School of California,14101400117994,Inyo County Office of Education,1,,,,,null%
YouthBuild Charter School of California Central,14101400121301,Inyo County Office of Education,0,,,,,null%
The Education Corps,14101400128447,Inyo County Office of Education,3,,,,,null%
College Bridge Academy,14101400128454,Inyo County Office of Education,0,,,,,null%
Big Pine High,14632481431352,Big Pine Unified,3,,,,,null%
Lone Pine High,14632891434901,Lone Pine Unified,6,,,,,null%
Owens Valley High,14632971436203,Owens Valley Unified,1,,,,,null%
Bishop Independent Study,14766870119081,Bishop Unified,0,,,,,null%
Bishop Union High,14766871431600,Bishop Unified,73,494.0,506.0,476.0,38.0,52.05%
Paramount Academy,15101570119669,Kern County Office of Education,54,373.0,390.0,377.0,4.0,7.41%
Valley Oaks Charter,15101571530492,Kern County Office of Education,17,499.0,476.0,502.0,6.0,35.29%
Cesar E. Chavez High,15634120100529,Delano Joint Union High,162,439.0,463.0,439.0,37.0,22.84%
Robert F. Kennedy High,15634120116384,Delano Joint Union High,85,443.0,449.0,449.0,19.0,22.35%
Delano High,15634121531672,Delano Joint Union High,125,436.0,453.0,422.0,31.0,24.8%
Golden Valley High,15635290100198,Kern High,236,431.0,425.0,424.0,39.0,16.53%
Frontier High,15635290110999,Kern High,244,486.0,503.0,475.0,102.0,41.8%
Independence High,15635290116392,Kern High,213,471.0,473.0,463.0,75.0,35.21%
Mira Monte High,15635290116400,Kern High,184,398.0,406.0,403.0,19.0,10.33%
Nueva Continuation High,15635291530047,Kern High,1,,,,,null%
Vista West Continuation High,15635291530112,Kern High,2,,,,,null%
Arvin High,15635291530252,Kern High,171,420.0,424.0,417.0,21.0,12.28%
Stockdale High,15635291530344,Kern High,271,524.0,548.0,520.0,157.0,57.93%
Centennial High,15635291530369,Kern High,204,509.0,519.0,489.0,108.0,52.94%
Ridgeview High,15635291530385,Kern High,233,436.0,443.0,421.0,38.0,16.31%
Kern Workforce 2000 Academy,15635291530435,Kern High,0,,,,,null%
Liberty High,15635291530476,Kern High,208,517.0,531.0,501.0,120.0,57.69%
Bakersfield High,15635291530708,Kern High,200,486.0,492.0,457.0,80.0,40%
East Bakersfield High,15635291532290,Kern High,168,425.0,429.0,435.0,34.0,20.24%
Foothill High,15635291532605,Kern High,144,415.0,436.0,410.0,18.0,12.5%
Highland High,15635291533330,Kern High,183,470.0,454.0,445.0,52.0,28.42%
Kern Valley High,15635291533538,Kern High,23,482.0,464.0,467.0,6.0,26.09%
North High,15635291534775,Kern High,96,467.0,460.0,443.0,29.0,30.21%
Shafter High,15635291535087,Kern High,79,442.0,464.0,440.0,16.0,20.25%
South High,15635291535392,Kern High,176,417.0,420.0,400.0,18.0,10.23%
West High,15635291536606,Kern High,146,450.0,455.0,432.0,41.0,28.08%
California Virtual Academy High @ Maricopa,15636280127209,Maricopa Unified,0,,,,,null%
Maricopa High,15636281533843,Maricopa Unified,4,,,,,null%
California City High,15636770114512,Mojave Unified,41,445.0,431.0,424.0,8.0,19.51%
Mojave Jr./Sr. High,15636771534460,Mojave Unified,9,,,,,null%
Boron Junior-Senior High,15636851530997,Muroc Joint Unified,9,,,,,null%
Desert Junior-Senior High,15636851531987,Muroc Joint Unified,49,502.0,505.0,489.0,23.0,46.94%
Abraham Lincoln Alternative,15637761530377,Southern Kern Unified,0,,,,,null%
Rosamond High,15637761534957,Southern Kern Unified,51,465.0,471.0,463.0,17.0,33.33%
Taft Union High,15638181535905,Taft Union High,69,464.0,471.0,452.0,18.0,26.09%
Tehachapi High,15638261536135,Tehachapi Unified,102,528.0,518.0,501.0,56.0,54.9%
Wasco High,15638591536440,Wasco Union High,106,432.0,448.0,433.0,22.0,20.75%
Burroughs High,15737421531367,Sierra Sands Unified,116,518.0,536.0,514.0,70.0,60.34%
McFarland High,15739081534155,McFarland Unified,100,407.0,420.0,394.0,14.0,14%
Frazier Mountain High,15751681530401,El Tejon Unified,19,473.0,469.0,443.0,5.0,26.32%
Crossroads Charter,16638750101717,Armona Union Elementary,0,,,,,null%
California Virtual Academy @ Kings,16638750112698,Armona Union Elementary,3,,,,,null%
"National University Academy, Armona",16638750121491,Armona Union Elementary,0,,,,,null%
Corcoran High,16638911632207,Corcoran Joint Unified,71,443.0,446.0,431.0,16.0,22.54%
Sierra Pacific High,16639250118919,Hanford Joint Union High,64,481.0,483.0,464.0,21.0,32.81%
Hanford West High,16639251630169,Hanford Joint Union High,108,448.0,454.0,450.0,26.0,24.07%
Hanford High,16639251634401,Hanford Joint Union High,86,460.0,449.0,436.0,24.0,27.91%
Lemoore Middle College High,16639820110205,Lemoore Union High,55,485.0,468.0,464.0,22.0,40%
Lemoore High,16639821635606,Lemoore Union High,117,470.0,468.0,459.0,37.0,31.62%
Avenal High,16739321630953,Reef-Sunset Unified,82,376.0,357.0,372.0,1.0,1.22%
Kelseyville High,17640141734359,Kelseyville Unified,42,500.0,468.0,491.0,18.0,42.86%
Lower Lake High,17640221735000,Konocti Unified,40,463.0,457.0,459.0,12.0,30%
Clear Lake High,17640301732304,Lakeport Unified,51,500.0,511.0,497.0,28.0,54.9%
Middletown High,17640551736008,Middletown Unified,44,507.0,518.0,489.0,25.0,56.82%
Upper Lake High,17640711737006,Upper Lake Union High,30,450.0,412.0,436.0,5.0,16.67%
Big Valley Jr. Sr. High,18640891831601,Big Valley Joint Unified,2,,,,,null%
Lassen High,18641391833805,Lassen Union High,70,492.0,507.0,484.0,35.0,50%
New Day Academy,18641620120287,Ravendale-Termo Elementary,2,,,,,null%
Long Valley Charter,18641626010763,Ravendale-Termo Elementary,0,,,,,null%
Westwood Charter,18642041830132,Westwood Unified,1,,,,,null%
Westwood High,18642041838507,Westwood Unified,7,,,,,null%
Mt. Lassen Charter,18750360121657,Fort Sage Unified,0,,,,,null%
Herlong High,18750361833409,Fort Sage Unified,5,,,,,null%
Academia Avance Charter,19101990109926,Los Angeles County Office of Education,57,380.0,386.0,382.0,6.0,10.53%
Los Angeles International Charter High,19101990109942,Los Angeles County Office of Education,65,401.0,420.0,428.0,15.0,23.08%
Optimist Charter,19101990127522,Los Angeles County Office of Education,0,,,,,null%
L.A. County High School for the Arts,19101991933399,Los Angeles County Office of Education,129,565.0,509.0,570.0,90.0,69.77%
Alternative Opportunity Programs,19101991995257,Los Angeles County Office of Education,0,,,,,null%
International Polytechnic High,19101991995869,Los Angeles County Office of Education,110,508.0,519.0,495.0,57.0,51.82%
Soledad Enrichment Action Charter High,19101991996008,Los Angeles County Office of Education,11,338.0,305.0,335.0,0.0,0%
Cerritos High,19642121930056,ABC Unified,367,535.0,587.0,546.0,263.0,71.66%
Artesia High,19642121930361,ABC Unified,130,453.0,466.0,450.0,31.0,23.85%
Whitney (Gretchen) High,19642121931880,ABC Unified,154,639.0,687.0,661.0,151.0,98.05%
Gahr (Richard) High,19642121933159,ABC Unified,234,485.0,509.0,477.0,104.0,44.44%
ABC Secondary (Alternative),19642121995596,ABC Unified,0,,,,,null%
William J. (Pete) Knight High,19642460100081,Antelope Valley Union High,303,441.0,435.0,442.0,77.0,25.41%
Eastside High,19642460108407,Antelope Valley Union High,257,420.0,408.0,409.0,34.0,13.23%
SOAR High (Students On Academic Rise),19642460111872,Antelope Valley Union High,87,517.0,513.0,496.0,45.0,51.72%
Los Angeles County Online High,19642460115337,Antelope Valley Union High,6,,,,,null%
Academies of the Antelope Valley,19642460126003,Antelope Valley Union High,3,,,,,null%
Antelope Valley High,19642461930213,Antelope Valley Union High,138,412.0,400.0,405.0,10.0,7.25%
Desert Winds Continuation High,19642461931732,Antelope Valley Union High,1,,,,,null%
Palmdale High,19642461936624,Antelope Valley Union High,218,446.0,427.0,433.0,46.0,21.1%
Quartz Hill High,19642461937051,Antelope Valley Union High,344,499.0,494.0,486.0,152.0,44.19%
Highland High,19642461995398,Antelope Valley Union High,312,471.0,460.0,458.0,99.0,31.73%
Littlerock High,19642461995406,Antelope Valley Union High,133,423.0,426.0,422.0,24.0,18.05%
Lancaster High,19642461995844,Antelope Valley Union High,238,470.0,462.0,449.0,74.0,31.09%
Desert Sands Charter,19642461996537,Antelope Valley Union High,4,,,,,null%
Arcadia High,19642611930288,Arcadia Unified,597,578.0,635.0,592.0,509.0,85.26%
Rancho Learning Center (Alternative),19642611995299,Arcadia Unified,32,605.0,641.0,601.0,30.0,93.75%
Azusa High,19642791930528,Azusa Unified,159,440.0,445.0,431.0,35.0,22.01%
Gladstone High,19642791933449,Azusa Unified,117,445.0,432.0,434.0,19.0,16.24%
Opportunities For Learning - Baldwin Park II,19642870114397,Baldwin Park Unified,79,434.0,397.0,426.0,7.0,8.86%
Baldwin Park High,19642871930601,Baldwin Park Unified,179,459.0,473.0,446.0,58.0,32.4%
Sierra Vista High,19642871938166,Baldwin Park Unified,215,454.0,463.0,448.0,59.0,27.44%
Opportunities for Learning - Baldwin Park,19642871996479,Baldwin Park Unified,81,441.0,419.0,447.0,15.0,18.52%
Bassett Senior High,19642951930700,Bassett Unified,100,427.0,436.0,431.0,21.0,21%
Nueva Vista Continuation High,19642951936491,Bassett Unified,1,,,,,null%
Bellflower High,19643031930775,Bellflower Unified,147,465.0,482.0,445.0,41.0,27.89%
Mayfair High,19643031935618,Bellflower Unified,234,490.0,495.0,478.0,99.0,42.31%
Beverly Hills High,19643111930981,Beverly Hills Unified,219,574.0,589.0,588.0,173.0,79%
Bonita High,19643291931088,Bonita Unified,260,495.0,500.0,500.0,127.0,48.85%
San Dimas High,19643291937739,Bonita Unified,155,497.0,491.0,487.0,67.0,43.23%
Burbank High,19643371931187,Burbank Unified,320,516.0,532.0,513.0,193.0,60.31%
Burroughs High,19643371931237,Burbank Unified,338,519.0,521.0,509.0,183.0,54.14%
Options for Youth-Burbank Charter,19643371996099,Burbank Unified,22,467.0,439.0,464.0,9.0,40.91%
Centinela Valley Independent Study,19643520118521,Centinela Valley Union High,0,,,,,null%
Family First Charter,19643520128488,Centinela Valley Union High,0,,,,,null%
New Opportunities Charter,19643520128496,Centinela Valley Union High,0,,,,,null%
Hawthorne High,19643521933951,Centinela Valley Union High,179,412.0,405.0,420.0,26.0,14.53%
Lawndale High,19643521934926,Centinela Valley Union High,361,428.0,429.0,423.0,62.0,17.17%
Leuzinger High,19643521935048,Centinela Valley Union High,155,391.0,410.0,391.0,16.0,10.32%
Charter Oak High,19643781931666,Charter Oak Unified,262,470.0,485.0,466.0,97.0,37.02%
San Antonio High (Continuation),19643941931807,Claremont Unified,2,,,,,null%
Claremont High,19643941931823,Claremont Unified,403,517.0,525.0,519.0,228.0,56.58%
Covina High,19644361932086,Covina-Valley Unified,150,454.0,462.0,452.0,36.0,24%
Northview High,19644361936418,Covina-Valley Unified,158,433.0,431.0,426.0,28.0,17.72%
South Hills High,19644361938372,Covina-Valley Unified,271,488.0,499.0,476.0,105.0,38.75%
Culver City High,19644441932201,Culver City Unified,341,514.0,516.0,502.0,170.0,49.85%
Downey High,19644511932441,Downey Unified,455,464.0,456.0,454.0,126.0,27.69%
Warren High,19644511939164,Downey Unified,474,467.0,473.0,458.0,144.0,30.38%
Opportunities for Learning - Duarte,19644690128736,Duarte Unified,4,,,,,null%
Duarte High,19644691932482,Duarte Unified,143,448.0,465.0,446.0,33.0,23.08%
Arroyo High,19645191930320,El Monte Union High,291,455.0,483.0,457.0,91.0,31.27%
El Monte High,19645191932664,El Monte Union High,211,434.0,454.0,430.0,56.0,26.54%
Mountain View High,19645191932680,El Monte Union High,126,442.0,461.0,444.0,31.0,24.6%
Rosemead High,19645191937481,El Monte Union High,277,473.0,505.0,469.0,124.0,44.77%
South El Monte High,19645191995661,El Monte Union High,164,436.0,458.0,427.0,38.0,23.17%
El Rancho High,19645271932706,El Rancho Unified,391,441.0,458.0,435.0,90.0,23.02%
El Segundo High,19645351932763,El Segundo Unified,229,523.0,518.0,513.0,126.0,55.02%
Crescenta Valley High,19645681932144,Glendale Unified,507,561.0,599.0,566.0,377.0,74.36%
Daily (Allan F.) High (Continuation),19645681933472,Glendale Unified,2,,,,,null%
Glendale High,19645681933530,Glendale Unified,254,502.0,536.0,495.0,136.0,53.54%
Herbert Hoover High,19645681934082,Glendale Unified,135,505.0,549.0,511.0,72.0,53.33%
Verdugo Academy,19645681995497,Glendale Unified,2,,,,,null%
Anderson W. Clark Magnet High,19645681996131,Glendale Unified,171,523.0,580.0,539.0,119.0,69.59%
Glendora High,19645761933597,Glendora Unified,329,534.0,554.0,525.0,217.0,65.96%
Whitcomb Continuation High,19645761939677,Glendora Unified,1,,,,,null%
Gorman Learning Center,19645841996305,Gorman Elementary,35,516.0,473.0,473.0,16.0,45.71%
Hawthorne Math and Science Academy,19645920100354,Hawthorne,116,493.0,513.0,492.0,58.0,50%
Inglewood High,19646341934231,Inglewood Unified,113,387.0,389.0,394.0,9.0,7.96%
Inglewood Continuation High,19646341934249,Inglewood Unified,1,,,,,null%
Morningside High,19646341936046,Inglewood Unified,116,380.0,368.0,379.0,4.0,3.45%
City Honors College Preparatory Academy,19646341996529,Inglewood Unified,92,439.0,429.0,442.0,23.0,25%
Animo Inglewood Charter High,19646341996586,Inglewood Unified,85,433.0,466.0,448.0,20.0,23.53%
La Canada High,19646591934611,La Canada Unified,261,604.0,627.0,605.0,228.0,87.36%
Agoura High,19646831930080,Las Virgenes Unified,288,571.0,576.0,573.0,236.0,81.94%
Calabasas High,19646831931781,Las Virgenes Unified,238,545.0,547.0,554.0,166.0,69.75%
Environmental Charter High,19646911996438,Lawndale Elementary,116,443.0,445.0,446.0,26.0,22.41%
"Lennox Mathematics, Science and Technology Academy",19647090100602,Lennox,119,432.0,426.0,418.0,18.0,15.13%
Animo Leadership High,19647091996313,Lennox,119,405.0,424.0,416.0,18.0,15.13%
Beach High-Intensive Learning Program,19647250125153,Long Beach Unified,0,,,,,null%
Avalon K-12,19647251930411,Long Beach Unified,30,501.0,515.0,492.0,15.0,50%
Jordan High,19647251934470,Long Beach Unified,322,392.0,397.0,389.0,23.0,7.14%
Lakewood High,19647251934678,Long Beach Unified,426,469.0,469.0,454.0,136.0,31.92%
Millikan High,19647251935758,Long Beach Unified,510,472.0,465.0,464.0,173.0,33.92%
Polytechnic High,19647251936947,Long Beach Unified,660,479.0,483.0,473.0,267.0,40.45%
Reid High,19647251937176,Long Beach Unified,1,,,,,null%
Wilson High,19647251939875,Long Beach Unified,475,494.0,494.0,485.0,222.0,46.74%
California Academy of Mathematics and Science,19647251995539,Long Beach Unified,155,581.0,602.0,579.0,137.0,88.39%
Educational Partnership High,19647251995570,Long Beach Unified,2,,,,,null%
Cabrillo High,19647251995935,Long Beach Unified,230,405.0,408.0,388.0,19.0,8.26%
Renaissance High School for the Arts,19647251996503,Long Beach Unified,67,506.0,459.0,483.0,24.0,35.82%
High Tech LA,19647330100677,Los Angeles Unified,69,525.0,542.0,508.0,41.0,59.42%
Wallis Annenberg High,19647330100750,Los Angeles Unified,85,414.0,424.0,416.0,11.0,12.94%
North Valley Military Institute College Preparator,19647330100776,Los Angeles Unified,10,,,,,null%
Central City Value,19647330100800,Los Angeles Unified,109,399.0,395.0,404.0,11.0,10.09%
View Park Preparatory Accelerated High,19647330101196,Los Angeles Unified,105,385.0,374.0,382.0,9.0,8.57%
Crenshaw Arts-Technology Charter High,19647330101659,Los Angeles Unified,61,375.0,362.0,381.0,3.0,4.92%
Oscar De La Hoya Animo Charter High,19647330101675,Los Angeles Unified,153,392.0,391.0,398.0,19.0,12.42%
Renaissance Arts Academy,19647330101683,Los Angeles Unified,39,512.0,499.0,506.0,18.0,46.15%
Animo South Los Angeles Charter,19647330102434,Los Angeles Unified,135,387.0,372.0,376.0,9.0,6.67%
New Designs Charter,19647330102541,Los Angeles Unified,63,397.0,410.0,411.0,11.0,17.46%
Middle College High,19647330102913,Los Angeles Unified,90,439.0,434.0,435.0,17.0,18.89%
Harbor Teacher Preparation Academy,19647330102921,Los Angeles Unified,90,510.0,538.0,509.0,55.0,61.11%
Ivy Academia,19647330106351,Los Angeles Unified,37,416.0,418.0,431.0,8.0,21.62%
Camino Nuevo Charter High,19647330106435,Los Angeles Unified,106,406.0,418.0,413.0,14.0,13.21%
Animo Venice Charter High,19647330106831,Los Angeles Unified,129,416.0,411.0,414.0,17.0,13.18%
Animo Pat Brown,19647330106849,Los Angeles Unified,121,386.0,412.0,377.0,14.0,11.57%
Alliance Gertz-Ressler Richard Merkin 6-12 Complex,19647330106864,Los Angeles Unified,111,415.0,430.0,436.0,17.0,15.32%
Orthopaedic Hospital,19647330106997,Los Angeles Unified,137,448.0,449.0,444.0,35.0,25.55%
Northridge Academy High,19647330107003,Los Angeles Unified,152,461.0,463.0,464.0,49.0,32.24%
International Studies Learning Center at Legacy Hi,19647330107011,Los Angeles Unified,42,453.0,465.0,457.0,14.0,33.33%
Port of Los Angeles High,19647330107755,Los Angeles Unified,148,483.0,500.0,487.0,63.0,42.57%
CHAMPS - Charter HS of Arts-Multimedia & Performin,19647330108878,Los Angeles Unified,162,501.0,464.0,497.0,69.0,42.59%
Alliance Judy Ivie Burton Technology Academy High,19647330108894,Los Angeles Unified,131,391.0,413.0,408.0,16.0,12.21%
Alliance Collins Family College-Ready High,19647330108936,Los Angeles Unified,161,381.0,408.0,390.0,13.0,8.07%
Pacific Boulevard,19647330109322,Los Angeles Unified,0,,,,,null%
Santee Education Complex,19647330109447,Los Angeles Unified,172,388.0,371.0,382.0,11.0,6.4%
South East High,19647330109454,Los Angeles Unified,256,433.0,425.0,439.0,59.0,23.05%
Maywood Academy High,19647330109462,Los Angeles Unified,141,421.0,436.0,420.0,29.0,20.57%
PUC CA Academy for Liberal Studies Early College H,19647330109553,Los Angeles Unified,53,422.0,435.0,437.0,6.0,11.32%
Los Angeles Academy of Arts & Enterprise Charter,19647330110304,Los Angeles Unified,29,385.0,386.0,388.0,3.0,10.34%
Frida Kahlo High,19647330110668,Los Angeles Unified,1,,,,,null%
New Village Girls Academy,19647330111484,Los Angeles Unified,16,370.0,320.0,374.0,0.0,0%
Alliance Patti And Peter Neuwirth Leadership Acade,19647330111492,Los Angeles Unified,177,378.0,397.0,386.0,9.0,5.08%
Alliance Dr. Olga Mohan High,19647330111500,Los Angeles Unified,108,390.0,422.0,407.0,15.0,13.89%
Animo Ralph Bunche High,19647330111575,Los Angeles Unified,80,361.0,385.0,387.0,1.0,1.25%
Animo Jackie Robinson High,19647330111583,Los Angeles Unified,117,381.0,398.0,377.0,11.0,9.4%
Animo Watts College Preparatory Academy,19647330111625,Los Angeles Unified,95,371.0,359.0,362.0,3.0,3.16%
Alliance Ouchi-O'Donovan 6-12 Complex,19647330111641,Los Angeles Unified,124,388.0,381.0,397.0,12.0,9.68%
Alliance Marc & Eva Stern Math and Science,19647330111658,Los Angeles Unified,142,426.0,433.0,439.0,30.0,21.13%
