School Name,School Code,District Name,Number of Test Takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Street Academy (Alternative),01612590130179,Oakland Unified,3,null,null,null,null,null%
LIFE Academy,01612590130575,Oakland Unified,54,378,374,377,4,7.41%
"Oakland Military Institute, College Preparatory Ac",01612590130617,Oakland Unified,66,417,429,418,12,18.18%
Aspire Lionel Wilson College Preparatory Academy,01612590130666,Oakland Unified,52,391,416,410,3,5.77%
Oakland High,01612590135905,Oakland Unified,187,414,436,417,32,17.11%
Oakland Technical High,01612590136051,Oakland Unified,308,515,520,503,168,54.55%
Skyline High,01612590137943,Oakland Unified,179,447,446,447,49,27.37%
Oakland School for the Arts,01612593030772,Oakland Unified,80,529,470,523,40,50%
"Independent Study, Sojourner Truth",01612596114011,Oakland Unified,4,null,null,null,null,null%
Millennium High Alternative,01612750130286,Piedmont City Unified,10,null,null,null,null,null%
Piedmont High,01612750136515,Piedmont City Unified,140,621,629,625,129,92.14%
Lincoln High (Continuation),01612910134528,San Leandro Unified,1,null,null,null,null,null%
San Leandro High,01612910137588,San Leandro Unified,324,461,462,460,104,32.1%
East Bay Arts High,01613090111799,San Lorenzo Unified,34,423,422,418,7,20.59%
KIPP King Collegiate High,01613090114421,San Lorenzo Unified,115,482,475,478,42,36.52%
Arroyo High,01613090130849,San Lorenzo Unified,218,489,521,479,99,45.41%
San Lorenzo High,01613090137810,San Lorenzo Unified,161,423,447,426,27,16.77%
Dublin High,01750930132704,Dublin Unified,292,534,565,533,190,65.07%
Foothill High,01751010130096,Pleasanton Unified,394,585,607,587,326,82.74%
Amador Valley High,01751010130583,Pleasanton Unified,488,596,614,592,410,84.02%
Livermore Valley Charter Preparatory High,01766530120931,SBE - Livermore Valley Charter Preparatory High,75,516,523,515,45,60%
North Star Independent Study,03739810330050,Amador County Unified,0,null,null,null,null,null%
Amador High,03739810330753,Amador County Unified,70,532,523,504,45,64.29%
Argonaut High,03739810334755,Amador County Unified,27,508,492,502,15,55.56%
CORE Butte Charter,04100410114991,Butte County Office of Education,26,532,462,485,10,38.46%
Learning Community Charter,04100410430090,Butte County Office of Education,0,null,null,null,null,null%
Biggs High,04614080430827,Biggs Unified,11,433,429,406,2,18.18%
Inspire School of Arts and Sciences,04614240120394,Chico Unified,42,602,552,562,34,80.95%
Oakdale,04614240430199,Chico Unified,0,null,null,null,null,null%
Chico High,04614240431676,Chico Unified,164,543,549,521,112,68.29%
Pleasant Valley High,04614240437558,Chico Unified,159,526,555,508,100,62.89%
Durham High,04614320433201,Durham Unified,43,498,484,472,19,44.19%
Ipakanni Early College Charter,04614400121509,Feather Falls Union Elementary,0,null,null,null,null,null%
Pivot Charter School North Valley,04614570125252,Golden Feather Union Elementary,0,null,null,null,null,null%
Las Plumas High,04615150434803,Oroville Union High,53,511,522,489,32,60.38%
Oroville High,04615150435602,Oroville Union High,49,464,485,446,16,32.65%
Paradise eLearning Academy,04615310121715,Paradise Unified,0,null,null,null,null,null%
Paradise Senior High,04615310437350,Paradise Unified,52,526,545,504,32,61.54%
Hometech Charter,04615316112585,Paradise Unified,0,null,null,null,null,null%
Esperanza High (Continuation),04755070433946,Gridley Unified,1,null,null,null,null,null%
Gridley High,04755070433953,Gridley Unified,36,498,491,497,18,50%
Mountain Oaks,05100580530154,Calaveras County Office of Education,4,null,null,null,null,null%
Bret Harte Union High,05615560532507,Bret Harte Union High,60,547,550,541,43,71.67%
Calaveras Unified Alternative-Sierra Hills Educati,05615640530055,Calaveras Unified,0,null,null,null,null,null%
Calaveras High,05615640531509,Calaveras Unified,61,513,503,485,33,54.1%
Colusa Alternative High (Continuation),06615980630012,Colusa Unified,1,null,null,null,null,null%
Colusa Alternative Home,06615980630046,Colusa Unified,0,null,null,null,null,null%
Colusa High,06615980631259,Colusa Unified,37,472,501,454,14,37.84%
Maxwell Jr/Sr High,06616060634758,Maxwell Unified,13,466,442,449,4,30.77%
Pierce High,06616140635250,Pierce Joint Unified,27,458,443,432,8,29.63%
Williams Junior/Senior High,06616220637504,Williams Unified,26,467,448,474,6,23.08%
Making Waves Academy,07100740114470,Contra Costa County Office of Education,73,454,478,452,19,26.03%
Clayton Valley Charter High,07100740731380,Contra Costa County Office of Education,240,512,508,501,124,51.67%
Acalanes Center for Independent Study,07616300107524,Acalanes Union High,2,null,null,null,null,null%
Acalanes High,07616300730283,Acalanes Union High,234,586,604,587,195,83.33%
Campolindo High,07616300731125,Acalanes Union High,260,603,617,616,237,91.15%
Las Lomas High,07616300733725,Acalanes Union High,247,565,554,560,181,73.28%
Miramonte High,07616300734244,Acalanes Union High,218,628,633,633,203,93.12%
Dozier-Libbey Medical High,07616480117218,Antioch Unified,85,496,485,495,35,41.18%
Live Oak High (Continuation),07616480730101,Antioch Unified,1,null,null,null,null,null%
Prospects High (Alternative),07616480730259,Antioch Unified,1,null,null,null,null,null%
Deer Valley High,07616480730465,Antioch Unified,248,478,477,464,94,37.9%
Antioch High,07616480730861,Antioch Unified,134,477,465,463,45,33.58%
Vista Oaks Charter,07616630130930,Byron Union Elementary,0,null,null,null,null,null%
John Swett High,07616970737023,John Swett Unified,31,477,512,485,14,45.16%
Heritage High,07617210107797,Liberty Union High,324,520,510,511,180,55.56%
Freedom High,07617210730457,Liberty Union High,227,470,455,464,70,30.84%
Independence High,07617210730572,Liberty Union High,2,null,null,null,null,null%
Liberty High,07617210733980,Liberty Union High,262,479,479,476,103,39.31%
Briones (Alternative),07617390730473,Martinez Unified,0,null,null,null,null,null%
Alhambra Senior High,07617390730549,Martinez Unified,118,518,543,523,70,59.32%
Northgate High,07617540730044,Mt. Diablo Unified,180,568,586,566,134,74.44%
Horizons Alternative,07617540730317,Mt. Diablo Unified,2,null,null,null,null,null%
College Park High,07617540731646,Mt. Diablo Unified,235,540,558,527,154,65.53%
Concord High,07617540731836,Mt. Diablo Unified,121,491,505,488,56,46.28%
Mt. Diablo High,07617540734566,Mt. Diablo Unified,113,437,436,436,25,22.12%
Ygnacio Valley High,07617540737809,Mt. Diablo Unified,102,458,455,451,33,32.35%
Pittsburg Senior High,07617880735407,Pittsburg Unified,290,446,436,442,64,22.07%
Leadership Public Schools: Richmond,07617960101477,West Contra Costa Unified,102,394,413,410,11,10.78%
North Campus Continuation,07617960730275,West Contra Costa Unified,22,324,307,328,0,0%
Middle College High,07617960730291,West Contra Costa Unified,68,500,526,509,33,48.53%
Vista High (Alternative),07617960730325,West Contra Costa Unified,27,393,378,404,1,3.7%
Hercules High,07617960730598,West Contra Costa Unified,196,451,454,454,57,29.08%
De Anza Senior High,07617960732164,West Contra Costa Unified,204,399,395,409,26,12.75%
El Cerrito Senior High,07617960732941,West Contra Costa Unified,262,444,445,439,77,29.39%
Gompers (Samuel) Continuation,07617960733253,West Contra Costa Unified,19,314,289,312,0,0%
Kennedy High,07617960733659,West Contra Costa Unified,134,346,345,348,7,5.22%
Pinole Valley High,07617960735316,West Contra Costa Unified,246,426,417,422,55,22.36%
Richmond High,07617960735902,West Contra Costa Unified,273,357,354,358,11,4.03%
Dougherty Valley High,07618040113118,San Ramon Valley Unified,528,604,651,613,457,86.55%
California High,07618040730051,San Ramon Valley Unified,435,576,606,571,342,78.62%
Venture (Alternative),07618040730218,San Ramon Valley Unified,16,559,539,523,11,68.75%
Monte Vista High,07618040734368,San Ramon Valley Unified,362,566,591,566,271,74.86%
San Ramon Valley High,07618040736504,San Ramon Valley Unified,383,574,587,567,322,84.07%
Castle Rock,08100820830059,Del Norte County Office of Education,4,null,null,null,null,null%
Del Norte High,08618200833004,Del Norte County Unified,77,476,510,464,35,45.45%
Charter Community School Home Study Academy,09100900930123,El Dorado County Office of Education,16,564,550,527,13,81.25%
Oak Ridge High,09618530930081,El Dorado Union High,386,546,570,542,280,72.54%
Union Mine High,09618530930164,El Dorado Union High,75,533,517,498,40,53.33%
EDUHSD Virtual Academy at Shenandoah,09618530930214,El Dorado Union High,6,null,null,null,null,null%
El Dorado High,09618530932756,El Dorado Union High,115,534,522,516,66,57.39%
Independence Continuation,09618530934554,El Dorado Union High,1,null,null,null,null,null%
Ponderosa High,09618530936302,El Dorado Union High,205,539,564,527,149,72.68%
South Tahoe High,09619030937805,Lake Tahoe Unified,107,503,502,488,55,51.4%
American River Charter,09737830121566,Black Oak Mine Unified,0,null,null,null,null,null%
Golden Sierra Junior Senior High,09737830930073,Black Oak Mine Unified,27,537,541,514,20,74.07%
Crescent View West Charter,10101080109991,Fresno County Office of Education,0,null,null,null,null,null%
Hume Lake Charter,10101080111682,Fresno County Office of Education,1,null,null,null,null,null%
Big Picture High School - Fresno,10101080119628,Fresno County Office of Education,5,null,null,null,null,null%
Clovis North High,10621170113555,Clovis Unified,328,524,535,519,193,58.84%
Clovis Online Charter,10621170118018,Clovis Unified,9,null,null,null,null,null%
Clovis West High,10621171030196,Clovis Unified,335,508,526,507,176,52.54%
Enterprise Alternative,10621171030469,Clovis Unified,0,null,null,null,null,null%
Buchanan High,10621171030501,Clovis Unified,330,522,524,507,189,57.27%
Clovis East High,10621171030683,Clovis Unified,264,467,471,455,90,34.09%
Gateway High (Continuation),10621171031004,Clovis Unified,3,null,null,null,null,null%
Clovis High,10621171031053,Clovis Unified,313,484,492,477,129,41.21%
Coalinga High,10621251031376,Coalinga-Huron Unified,72,465,446,455,24,33.33%
Fowler High,10621581032150,Fowler Unified,104,424,417,423,19,18.27%
Design Science Early College High,10621660108555,Fresno Unified,74,487,502,468,34,45.95%
Sierra Charter,10621660114355,Fresno Unified,8,null,null,null,null,null%
University High,10621660114553,Fresno Unified,113,604,587,593,102,90.27%
Fresno Academy for Civic and Entrepreneurial Leade,10621660115196,Fresno Unified,10,null,null,null,null,null%
Bullard High,10621661030279,Fresno Unified,334,473,463,460,107,32.04%
J. E. Young Academic Center,10621661030287,Fresno Unified,0,null,null,null,null,null%
Erma Duncan Polytechnical High,10621661030295,Fresno Unified,104,396,418,389,5,4.81%
School of Unlimited Learning,10621661030642,Fresno Unified,0,null,null,null,null,null%
Sunnyside High,10621661030675,Fresno Unified,421,403,411,399,39,9.26%
Carter G. Woodson Public Charter,10621661030840,Fresno Unified,0,null,null,null,null,null%
Edison High,10621661031897,Fresno Unified,368,471,470,458,140,38.04%
Fresno High,10621661032507,Fresno Unified,144,424,428,416,23,15.97%
Herbert Hoover High,10621661032911,Fresno Unified,211,415,417,401,29,13.74%
McLane High,10621661034214,Fresno Unified,212,370,388,376,8,3.77%
Roosevelt High,10621661035831,Fresno Unified,217,377,384,379,17,7.83%
Kingsburg Independent Study High,10622570124727,Kingsburg Joint Union High,0,null,null,null,null,null%
Kingsburg High,10622571033695,Kingsburg Joint Union High,112,487,481,471,44,39.29%
Orange Cove High,10622650108092,Kings Canyon Joint Unified,56,393,395,405,1,1.79%
Dunlap Leadership Academy,10622650116640,Kings Canyon Joint Unified,0,null,null,null,null,null%
Mountain View (Alternative),10622651030378,Kings Canyon Joint Unified,1,null,null,null,null,null%
Reedley High,10622651035310,Kings Canyon Joint Unified,178,456,462,448,56,31.46%
Laton High,10622811033950,Laton Joint Unified,0,null,null,null,null,null%
National University Academy - Orange Center,10623310124354,Orange Center,0,null,null,null,null,null%
Academy of Arts and Sciences: Fresno,10623310130880,Orange Center,0,null,null,null,null,null%
Parlier High,10623641034990,Parlier Unified,78,387,398,386,5,6.41%
Ambassador Phillip V. Sanchez Public Charter,10623800124982,Raisin City Elementary,0,null,null,null,null,null%
Taft High,10624141030451,Sanger Unified,0,null,null,null,null,null%
Hallmark Charter,10624141030766,Sanger Unified,21,475,445,460,7,33.33%
Kings River High (Continuation),10624141036086,Sanger Unified,1,null,null,null,null,null%
Sanger High,10624141036094,Sanger Unified,287,434,446,430,58,20.21%
Selma Independent,10624301030758,Selma Unified,0,null,null,null,null,null%
Selma High,10624301036672,Selma Unified,186,434,422,425,32,17.2%
West Park Charter Academy,10625396112387,West Park Elementary,0,null,null,null,null,null%
Crescent View South Charter,10625470120535,Westside Elementary,0,null,null,null,null,null%
Opportunities For Learning - Fresno,10625470127159,Westside Elementary,1,null,null,null,null,null%
Firebaugh High,10738091030121,Firebaugh-Las Deltas Unified,84,401,373,396,4,4.76%
Central Unified Alternative/Opportunity,10739651030386,Central Unified,0,null,null,null,null,null%
Central High East Campus,10739651030626,Central Unified,368,451,449,449,92,25%
Kerman High,10739991033430,Kerman Unified,132,434,426,425,21,15.91%
Mendota High,10751271030493,Mendota Unified,62,385,395,378,4,6.45%
Tranquillity High,10752341037456,Golden Plains Unified,55,375,402,386,4,7.27%
Sierra High,10752751036938,Sierra Unified,50,522,500,501,24,48%
Riverdale High,10754081035575,Riverdale Joint Unified,69,422,424,429,12,17.39%
Caruthers High,10755981030535,Caruthers Unified,72,413,422,397,10,13.89%
Elm High,10767780122473,Washington Unified,0,null,null,null,null,null%
W. E. B. DuBois Public Charter,10767781030774,Washington Unified,1,null,null,null,null,null%
Washington High,10767781038306,Washington Unified,113,392,396,394,6,5.31%
Success One!,11101160130724,Glenn County Office of Education,0,null,null,null,null,null%
Conservation Corps of Long Beach Gateway Cities Ch,11101160130807,Glenn County Office of Education,0,null,null,null,null,null%
William Finch,11101161130103,Glenn County Office of Education,2,null,null,null,null,null%
Princeton Junior-Senior High,11626461136209,Princeton Joint Unified,7,null,null,null,null,null%
Willows High,11626611132851,Willows Unified,30,459,473,468,9,30%
Orland High,11754811135656,Orland Joint Unified,38,498,480,480,13,34.21%
Hamilton High,11765621133701,Hamilton Unified,30,456,465,466,11,36.67%
Northcoast Preparatory and Performing Arts Academy,12101240115097,Humboldt County Office of Education,35,620,534,579,32,91.43%
Six Rivers Charter High,12626870107110,Northern Humboldt Union High,16,531,528,472,6,37.5%
Laurel Tree Charter,12626870124263,Northern Humboldt Union High,3,null,null,null,null,null%
Arcata High,12626871230705,Northern Humboldt Union High,97,574,555,540,75,77.32%
McKinleyville High,12626871235209,Northern Humboldt Union High,52,501,500,486,27,51.92%
Academy of the Redwoods,12628100108688,Fortuna Union High,25,577,542,524,19,76%
Fortuna Union High,12628101233402,Fortuna Union High,67,491,493,480,29,43.28%
Hoopa Valley High,12629011234004,Klamath-Trinity Joint Unified,21,470,440,442,7,33.33%
Pacific View Charter,12629271230150,Loleta Union Elementary,0,null,null,null,null,null%
Alder Grove Charter,12630320111203,South Bay Union Elementary,4,null,null,null,null,null%
South Fork Junior - Senior High,12630401237007,Southern Humboldt Joint Unified,14,544,509,499,7,50%
Ferndale High,12753741232909,Ferndale Unified,18,507,520,511,11,61.11%
Mattole Triple Junction High,12753821230085,Mattole Unified,2,null,null,null,null,null%
Mattole Valley Charter (#159),12753821230135,Mattole Unified,4,null,null,null,null,null%
Eureka Senior High,12755151232206,Eureka City Schools,111,517,523,502,57,51.35%
Brawley High,13630811331404,Brawley Union High,156,452,451,442,43,27.56%
Calexico High,13630991332204,Calexico Unified,216,431,432,425,47,21.76%
Calipatria High,13631071332501,Calipatria Unified,23,464,453,446,6,26.09%
Southwest High,13631151330133,Central Union High,193,476,482,468,70,36.27%
Central Union High,13631151333004,Central Union High,128,468,486,464,46,35.94%
Desert Oasis High (Continuation),13631151333558,Central Union High,1,null,null,null,null,null%
Holtville High,13631491335306,Holtville Unified,67,441,451,434,13,19.4%
Imperial High,13631641335900,Imperial Unified,105,495,494,474,44,41.9%
San Pasqual Valley High,13632141337609,San Pasqual Valley Unified,9,null,null,null,null,null%
YouthBuild Charter School of California,14101400117994,Inyo County Office of Education,1,null,null,null,null,null%
YouthBuild Charter School of California Central,14101400121301,Inyo County Office of Education,0,null,null,null,null,null%
The Education Corps,14101400128447,Inyo County Office of Education,3,null,null,null,null,null%
College Bridge Academy,14101400128454,Inyo County Office of Education,0,null,null,null,null,null%
Big Pine High,14632481431352,Big Pine Unified,3,null,null,null,null,null%
Lone Pine High,14632891434901,Lone Pine Unified,6,null,null,null,null,null%
Owens Valley High,14632971436203,Owens Valley Unified,1,null,null,null,null,null%
Bishop Independent Study,14766870119081,Bishop Unified,0,null,null,null,null,null%
Bishop Union High,14766871431600,Bishop Unified,73,494,506,476,38,52.05%
Paramount Academy,15101570119669,Kern County Office of Education,54,373,390,377,4,7.41%
Valley Oaks Charter,15101571530492,Kern County Office of Education,17,499,476,502,6,35.29%
Cesar E. Chavez High,15634120100529,Delano Joint Union High,162,439,463,439,37,22.84%
Robert F. Kennedy High,15634120116384,Delano Joint Union High,85,443,449,449,19,22.35%
Delano High,15634121531672,Delano Joint Union High,125,436,453,422,31,24.8%
Golden Valley High,15635290100198,Kern High,236,431,425,424,39,16.53%
Frontier High,15635290110999,Kern High,244,486,503,475,102,41.8%
Independence High,15635290116392,Kern High,213,471,473,463,75,35.21%
Mira Monte High,15635290116400,Kern High,184,398,406,403,19,10.33%
Nueva Continuation High,15635291530047,Kern High,1,null,null,null,null,null%
Vista West Continuation High,15635291530112,Kern High,2,null,null,null,null,null%
Arvin High,15635291530252,Kern High,171,420,424,417,21,12.28%
Stockdale High,15635291530344,Kern High,271,524,548,520,157,57.93%
Centennial High,15635291530369,Kern High,204,509,519,489,108,52.94%
Ridgeview High,15635291530385,Kern High,233,436,443,421,38,16.31%
Kern Workforce 2000 Academy,15635291530435,Kern High,0,null,null,null,null,null%
Liberty High,15635291530476,Kern High,208,517,531,501,120,57.69%
Bakersfield High,15635291530708,Kern High,200,486,492,457,80,40%
East Bakersfield High,15635291532290,Kern High,168,425,429,435,34,20.24%
Foothill High,15635291532605,Kern High,144,415,436,410,18,12.5%
Highland High,15635291533330,Kern High,183,470,454,445,52,28.42%
Kern Valley High,15635291533538,Kern High,23,482,464,467,6,26.09%
North High,15635291534775,Kern High,96,467,460,443,29,30.21%
Shafter High,15635291535087,Kern High,79,442,464,440,16,20.25%
South High,15635291535392,Kern High,176,417,420,400,18,10.23%
West High,15635291536606,Kern High,146,450,455,432,41,28.08%
California Virtual Academy High @ Maricopa,15636280127209,Maricopa Unified,0,null,null,null,null,null%
Maricopa High,15636281533843,Maricopa Unified,4,null,null,null,null,null%
California City High,15636770114512,Mojave Unified,41,445,431,424,8,19.51%
Mojave Jr./Sr. High,15636771534460,Mojave Unified,9,null,null,null,null,null%
Boron Junior-Senior High,15636851530997,Muroc Joint Unified,9,null,null,null,null,null%
Desert Junior-Senior High,15636851531987,Muroc Joint Unified,49,502,505,489,23,46.94%
Abraham Lincoln Alternative,15637761530377,Southern Kern Unified,0,null,null,null,null,null%
Rosamond High,15637761534957,Southern Kern Unified,51,465,471,463,17,33.33%
Taft Union High,15638181535905,Taft Union High,69,464,471,452,18,26.09%
Tehachapi High,15638261536135,Tehachapi Unified,102,528,518,501,56,54.9%
Wasco High,15638591536440,Wasco Union High,106,432,448,433,22,20.75%
Burroughs High,15737421531367,Sierra Sands Unified,116,518,536,514,70,60.34%
McFarland High,15739081534155,McFarland Unified,100,407,420,394,14,14%
Frazier Mountain High,15751681530401,El Tejon Unified,19,473,469,443,5,26.32%
Crossroads Charter,16638750101717,Armona Union Elementary,0,null,null,null,null,null%
California Virtual Academy @ Kings,16638750112698,Armona Union Elementary,3,null,null,null,null,null%
"National University Academy, Armona",16638750121491,Armona Union Elementary,0,null,null,null,null,null%
Corcoran High,16638911632207,Corcoran Joint Unified,71,443,446,431,16,22.54%
Sierra Pacific High,16639250118919,Hanford Joint Union High,64,481,483,464,21,32.81%
Hanford West High,16639251630169,Hanford Joint Union High,108,448,454,450,26,24.07%
Hanford High,16639251634401,Hanford Joint Union High,86,460,449,436,24,27.91%
Lemoore Middle College High,16639820110205,Lemoore Union High,55,485,468,464,22,40%
Lemoore High,16639821635606,Lemoore Union High,117,470,468,459,37,31.62%
Avenal High,16739321630953,Reef-Sunset Unified,82,376,357,372,1,1.22%
Kelseyville High,17640141734359,Kelseyville Unified,42,500,468,491,18,42.86%
Lower Lake High,17640221735000,Konocti Unified,40,463,457,459,12,30%
Clear Lake High,17640301732304,Lakeport Unified,51,500,511,497,28,54.9%
Middletown High,17640551736008,Middletown Unified,44,507,518,489,25,56.82%
Upper Lake High,17640711737006,Upper Lake Union High,30,450,412,436,5,16.67%
Big Valley Jr. Sr. High,18640891831601,Big Valley Joint Unified,2,null,null,null,null,null%
Lassen High,18641391833805,Lassen Union High,70,492,507,484,35,50%
New Day Academy,18641620120287,Ravendale-Termo Elementary,2,null,null,null,null,null%
Long Valley Charter,18641626010763,Ravendale-Termo Elementary,0,null,null,null,null,null%
Westwood Charter,18642041830132,Westwood Unified,1,null,null,null,null,null%
Westwood High,18642041838507,Westwood Unified,7,null,null,null,null,null%
Mt. Lassen Charter,18750360121657,Fort Sage Unified,0,null,null,null,null,null%
Herlong High,18750361833409,Fort Sage Unified,5,null,null,null,null,null%
Academia Avance Charter,19101990109926,Los Angeles County Office of Education,57,380,386,382,6,10.53%
Los Angeles International Charter High,19101990109942,Los Angeles County Office of Education,65,401,420,428,15,23.08%
Optimist Charter,19101990127522,Los Angeles County Office of Education,0,null,null,null,null,null%
L.A. County High School for the Arts,19101991933399,Los Angeles County Office of Education,129,565,509,570,90,69.77%
Alternative Opportunity Programs,19101991995257,Los Angeles County Office of Education,0,null,null,null,null,null%
International Polytechnic High,19101991995869,Los Angeles County Office of Education,110,508,519,495,57,51.82%
Soledad Enrichment Action Charter High,19101991996008,Los Angeles County Office of Education,11,338,305,335,0,0%
Cerritos High,19642121930056,ABC Unified,367,535,587,546,263,71.66%
Artesia High,19642121930361,ABC Unified,130,453,466,450,31,23.85%
Whitney (Gretchen) High,19642121931880,ABC Unified,154,639,687,661,151,98.05%
Gahr (Richard) High,19642121933159,ABC Unified,234,485,509,477,104,44.44%
ABC Secondary (Alternative),19642121995596,ABC Unified,0,null,null,null,null,null%
William J. (Pete) Knight High,19642460100081,Antelope Valley Union High,303,441,435,442,77,25.41%
Eastside High,19642460108407,Antelope Valley Union High,257,420,408,409,34,13.23%
SOAR High (Students On Academic Rise),19642460111872,Antelope Valley Union High,87,517,513,496,45,51.72%
Los Angeles County Online High,19642460115337,Antelope Valley Union High,6,null,null,null,null,null%
Academies of the Antelope Valley,19642460126003,Antelope Valley Union High,3,null,null,null,null,null%
Antelope Valley High,19642461930213,Antelope Valley Union High,138,412,400,405,10,7.25%
Desert Winds Continuation High,19642461931732,Antelope Valley Union High,1,null,null,null,null,null%
Palmdale High,19642461936624,Antelope Valley Union High,218,446,427,433,46,21.1%
Quartz Hill High,19642461937051,Antelope Valley Union High,344,499,494,486,152,44.19%
Highland High,19642461995398,Antelope Valley Union High,312,471,460,458,99,31.73%
Littlerock High,19642461995406,Antelope Valley Union High,133,423,426,422,24,18.05%
Lancaster High,19642461995844,Antelope Valley Union High,238,470,462,449,74,31.09%
Desert Sands Charter,19642461996537,Antelope Valley Union High,4,null,null,null,null,null%
Arcadia High,19642611930288,Arcadia Unified,597,578,635,592,509,85.26%
Rancho Learning Center (Alternative),19642611995299,Arcadia Unified,32,605,641,601,30,93.75%
Azusa High,19642791930528,Azusa Unified,159,440,445,431,35,22.01%
Gladstone High,19642791933449,Azusa Unified,117,445,432,434,19,16.24%
Opportunities For Learning - Baldwin Park II,19642870114397,Baldwin Park Unified,79,434,397,426,7,8.86%
Baldwin Park High,19642871930601,Baldwin Park Unified,179,459,473,446,58,32.4%
Sierra Vista High,19642871938166,Baldwin Park Unified,215,454,463,448,59,27.44%
Opportunities for Learning - Baldwin Park,19642871996479,Baldwin Park Unified,81,441,419,447,15,18.52%
Bassett Senior High,19642951930700,Bassett Unified,100,427,436,431,21,21%
Nueva Vista Continuation High,19642951936491,Bassett Unified,1,null,null,null,null,null%
Bellflower High,19643031930775,Bellflower Unified,147,465,482,445,41,27.89%
