School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Street Academy (Alternative),01612590130179,Oakland Unified,3,null,null,null,null,null%
LIFE Academy,01612590130575,Oakland Unified,54,378,374,377,4,7.41%
"Oakland Military Institute, College Preparatory Ac",01612590130617,Oakland Unified,66,417,429,418,12,18.18%
Aspire Lionel Wilson College Preparatory Academy,01612590130666,Oakland Unified,52,391,416,410,3,5.77%
Oakland High,01612590135905,Oakland Unified,187,414,436,417,32,17.11%
Oakland Technical High,01612590136051,Oakland Unified,308,515,520,503,168,54.55%
Skyline High,01612590137943,Oakland Unified,179,447,446,447,49,27.37%
Oakland School for the Arts,01612593030772,Oakland Unified,80,529,470,523,40,50%
"Independent Study, Sojourner Truth",01612596114011,Oakland Unified,4,null,null,null,null,null%
Millennium High Alternative,01612750130286,Piedmont City Unified,10,null,null,null,null,null%
Piedmont High,01612750136515,Piedmont City Unified,140,621,629,625,129,92.14%
Lincoln High (Continuation),01612910134528,San Leandro Unified,1,null,null,null,null,null%
San Leandro High,01612910137588,San Leandro Unified,324,461,462,460,104,32.1%
East Bay Arts High,01613090111799,San Lorenzo Unified,34,423,422,418,7,20.59%
KIPP King Collegiate High,01613090114421,San Lorenzo Unified,115,482,475,478,42,36.52%
Arroyo High,01613090130849,San Lorenzo Unified,218,489,521,479,99,45.41%
San Lorenzo High,01613090137810,San Lorenzo Unified,161,423,447,426,27,16.77%
Dublin High,01750930132704,Dublin Unified,292,534,565,533,190,65.07%
Foothill High,01751010130096,Pleasanton Unified,394,585,607,587,326,82.74%
Amador Valley High,01751010130583,Pleasanton Unified,488,596,614,592,410,84.02%
Livermore Valley Charter Preparatory High,01766530120931,SBE - Livermore Valley Charter Preparatory High,75,516,523,515,45,60%
