School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
San Gorgonio High,36678763636081,San Bernardino City Unified,167,426,434,424,37,22.16%
Trona High,36678923636487,Trona Joint Unified,4,null,null,null,null,null%
University Preparatory,36679340110064,Victor Valley Union High,164,500,507,500,83,50.61%
Adelanto High,36679340125419,Victor Valley Union High,111,423,418,421,15,13.51%
Goodwill High,36679343630100,Victor Valley Union High,1,null,null,null,null,null%
Options for Youth-Victorville Charter,36679343630670,Victor Valley Union High,69,436,409,419,8,11.59%
Excelsior Charter,36679343630761,Victor Valley Union High,74,511,475,473,31,41.89%
Silverado High,36679343630787,Victor Valley Union High,204,431,431,422,36,17.65%
Victor Valley High,36679343638012,Victor Valley Union High,130,430,442,428,22,16.92%
Green Valley High,36679593633351,Yucaipa-Calimesa Joint Unified,1,null,null,null,null,null%
Yucaipa High,36679593638509,Yucaipa-Calimesa Joint Unified,267,482,489,481,110,41.2%
Baker High,36738583630076,Baker Valley Unified,6,null,null,null,null,null%
Silver Valley High,36738903630274,Silver Valley Unified,32,507,497,486,15,46.88%
Silver Valley Academy,36738903631199,Silver Valley Unified,1,null,null,null,null,null%
Serrano High,36739573630233,Snowline Joint Unified,179,503,508,493,92,51.4%
Snowline Virtual,36739573630589,Snowline Joint Unified,2,null,null,null,null,null%
Summit Leadership Academy-High Desert,36750440107516,Hesperia Unified,17,394,388,370,0,0%
Mirus Secondary,36750440114389,Hesperia Unified,1,null,null,null,null,null%
Encore Jr./Sr. High School for the Performing and,36750440116707,Hesperia Unified,40,491,464,486,18,45%
Oak Hills High,36750440119115,Hesperia Unified,227,456,461,450,69,30.4%
Hesperia High,36750443630407,Hesperia Unified,143,440,432,434,29,20.28%
Sultana High,36750443630746,Hesperia Unified,184,459,461,448,50,27.17%
Shadow Ridge,36750443630811,Hesperia Unified,3,null,null,null,null,null%
Sky Mountain Charter,36750510115089,Lucerne Valley Unified,7,null,null,null,null,null%
Lucerne Valley High,36750513630563,Lucerne Valley Unified,13,400,395,397,0,0%
Upland High,36750693637584,Upland Unified,415,495,505,490,187,45.06%
Apple Valley High,36750773630423,Apple Valley Unified,169,481,473,471,65,38.46%
Granite Hills High,36750773630894,Apple Valley Unified,133,488,468,479,59,44.36%
High Desert Premier Academy,36750773631009,Apple Valley Unified,0,null,null,null,null,null%
Academy for Academic Excellence,36750773631207,Apple Valley Unified,57,524,494,505,31,54.39%
